transaction_id,user_id,country,transaction_date,amount,payment_method
2943002,2943,Korea,2025-01-11,915.37,Card
715100010,7151,Germany,2024-08-05,123.17,ApplePay
458400009,4584,Germany,2024-10-03,485.19,ApplePay
8937002,8937,Brazil,2023-09-22,94.75,Card
2021001,2021,Brazil,2025-02-13,362.85,PayPal
2667001,2667,France,2024-02-25,937.45,PayPal
8946009,8946,India,2025-01-02,466.82,Card
1354001,1354,France,2024-11-30,960.02,Card
552600002,5526,India,2024-12-11,389.13,ApplePay
9276001,9276,Brazil,2024-05-31,237.69,Card
6878005,6878,China,2024-10-19,647.73,Card
535400007,5354,France,2024-07-14,53.92,ApplePay
5291002,5291,France,2024-12-29,935.96,Card
2491002,2491,USA,2025-01-07,867.44,Card
2657003,2657,India,2022-08-01,286.98,Card
2319007,2319,Korea,2024-12-28,767.98,Card
1814007,1814,Italy,2022-04-12,510.86,PayPal
663600004,6636,Russia,2024-07-12,133.81,ApplePay
5482003,5482,USA,2024-02-13,549.83,PayPal
475004,475,France,2023-06-02,829.67,PayPal
4720003,4720,Germany,2024-10-31,308.89,PayPal
5189003,5189,India,2025-01-17,257.39,Card
8160002,8160,Korea,2024-11-20,769.61,PayPal
771000003,7710,Korea,2024-03-24,74.54,ApplePay
5724005,5724,Mexico,2025-01-28,81.69,PayPal
2800004,2800,USA,2023-03-20,478.43,Card
1317004,1317,Italy,2024-05-25,351.77,PayPal
6928001,6928,Mexico,2022-07-26,601.58,Card
4738001,4738,Italy,2025-03-03,462.1,Card
5734001,5734,Italy,2024-03-13,716.54,PayPal
5885002,5885,India,2023-02-09,426.71,Card
3889006,3889,India,2023-05-23,928.24,Card
2408003,2408,Korea,2024-11-22,883.55,Card
3822005,3822,USA,2024-11-02,165.17,Card
363002,363,India,2024-04-25,291.87,PayPal
340800001,3408,Brazil,2025-01-09,596.49,ApplePay
8313010,8313,France,2024-07-29,117.31,Card
3123002,3123,Korea,2023-07-25,431.35,Card
4912002,4912,France,2023-09-01,134.22,PayPal
1458002,1458,USA,2025-01-02,762.11,PayPal
451000001,4510,Italy,2024-08-29,510.27,ApplePay
5857003,5857,Mexico,2022-07-15,571.92,PayPal
5980002,5980,USA,2025-03-02,667.47,Card
9674006,9674,Brazil,2023-04-30,830.55,Card
9326004,9326,Korea,2024-08-02,697.7,Card
8846008,8846,India,2025-02-17,738.28,Card
375009,375,Brazil,2023-11-16,496.23,PayPal
9791004,9791,Germany,2024-10-29,602.49,PayPal
9355003,9355,India,2023-03-04,581.85,Card
404665222,2999,Korea,1970-01-01,514.92,PayPal
5390005,5390,Brazil,2024-09-28,683.63,PayPal
1384002,1384,France,2024-04-28,526.28,PayPal
3878006,3878,India,2024-07-25,297.27,PayPal
134500005,1345,Italy,2024-10-07,846.99,ApplePay
6343004,6343,China,2023-04-01,805.64,PayPal
9098005,9098,Mexico,2023-11-16,398.31,PayPal
9615001,9615,India,2024-10-24,565.47,Card
8322004,8322,France,2024-10-26,181.16,PayPal
2889001,2889,India,2023-06-14,37.16,Card
7599001,7599,Italy,2024-01-22,954.1,PayPal
308001,308,China,2022-10-03,697.27,PayPal
6902006,6902,Germany,2025-01-22,389.42,PayPal
6579009,6579,France,2022-06-03,590.04,Card
4827008,4827,Korea,2024-12-11,335.26,Card
1458001,1458,USA,2024-11-08,223.3,PayPal
789700005,7897,Germany,2025-02-26,613.23,ApplePay
3439002,3439,China,2023-02-16,507.79,Card
859003,859,Germany,2025-02-17,161.84,PayPal
5618005,5618,France,2023-11-19,732.75,PayPal
6626005,6626,China,2024-05-01,854.46,PayPal
894007,894,Russia,2024-09-09,493.38,Card
4356003,4356,Korea,2023-07-05,717.78,PayPal
4330003,4330,USA,2024-12-25,274.68,PayPal
2999001,2999,Korea,2024-12-25,167.25,PayPal
5911004,5911,India,2024-04-15,699.13,Card
17001,17,Mexico,2024-12-20,116.34,Card
1294004,1294,Brazil,2023-12-10,206.56,PayPal
5360005,5360,Korea,2024-07-27,858.64,PayPal
6862008,6862,Brazil,2023-03-29,621.38,Card
254003,254,Brazil,2025-01-18,581.8,Card
6098005,6098,France,2024-10-01,776.89,PayPal
9975001,9975,Germany,2024-12-10,735.07,Card
4110009,4110,USA,2024-12-29,271.9,Card
7654001,7654,USA,2024-11-18,375.1,Card
4107007,4107,France,2023-08-02,245.65,PayPal
6466006,6466,India,2024-11-16,279.24,Card
986006,986,France,2022-12-20,49.04,Card
6343009,6343,China,2022-06-25,566.5,Card
4384003,4384,France,2023-05-14,689.31,Card
905660931,4209,India,1970-01-01,663.9,Card
3454005,3454,France,2025-02-02,531.0,Card
8946002,8946,India,2024-05-04,479.73,PayPal
9862001,9862,India,2022-11-23,470.19,Card
7404006,7404,Germany,2024-12-24,962.03,PayPal
9220003,9220,China,2022-10-31,457.95,Card
9541003,9541,India,2025-02-13,902.46,PayPal
1321006,1321,USA,2024-11-14,243.93,Card
2499003,2499,India,2025-03-02,824.11,PayPal
4957001,4957,Korea,2024-06-04,995.92,Card
4316001,4316,Brazil,2025-02-17,908.67,Card
8501004,8501,Brazil,2024-04-07,890.69,PayPal
3755003,3755,USA,2023-06-17,732.7,Card
5780001,5780,India,2023-05-30,616.21,PayPal
1576001,1576,Italy,2024-09-20,844.03,PayPal
1190003,1190,Germany,2024-12-17,91.06,Card
7655004,7655,Germany,2025-01-14,90.28,PayPal
4737008,4737,Mexico,2024-02-14,528.64,PayPal
1595002,1595,India,2024-11-02,359.19,Card
7461007,7461,France,2025-01-09,932.81,PayPal
1482001,1482,Korea,2024-12-08,845.6,Card
2530002,2530,Germany,2023-05-29,873.92,PayPal
2845001,2845,Korea,2024-11-11,572.7,Card
102900004,1029,India,2024-06-18,154.52,ApplePay
6653008,6653,China,2022-07-19,513.25,PayPal
1750003,1750,France,2024-12-31,148.08,PayPal
2614009,2614,India,2023-07-02,821.67,Card
1554001,1554,Korea,2025-02-24,5.58,Card
5927007,5927,Mexico,2024-03-07,363.03,Card
7676003,7676,Italy,2024-06-30,398.57,Card
6652001,6652,India,2023-09-29,343.8,Card
8946003,8946,India,2025-02-20,739.2,PayPal
746002,746,India,2024-07-01,811.79,Card
6653004,6653,China,2024-05-02,391.63,PayPal
8364002,8364,Brazil,2023-03-07,803.45,Card
9674002,9674,Brazil,2023-03-05,484.03,PayPal
9138007,9138,Italy,2025-02-12,113.5,PayPal
8926006,8926,Korea,2024-09-02,578.62,Card
840004,840,Brazil,2024-12-29,317.76,PayPal
8431001,8431,Mexico,2024-11-05,278.68,Card
6204005,6204,India,2024-07-18,964.34,PayPal
5360004,5360,Korea,2024-04-17,493.59,PayPal
537002,537,Mexico,2024-08-24,106.32,Card
551005,551,France,2024-07-16,353.25,PayPal
4689001,4689,Germany,2023-10-10,855.84,Card
3822002,3822,USA,2025-01-31,52.08,PayPal
8386001,8386,France,2025-02-07,606.44,Card
7405002,7405,Germany,2023-04-01,979.58,PayPal
2344002,2344,Italy,2022-12-12,260.31,PayPal
4317003,4317,India,2023-11-08,976.75,Card
7771003,7771,France,2024-09-27,579.71,PayPal
3405002,3405,Mexico,2024-06-08,429.6,Card
8092001,8092,Mexico,2022-08-03,566.97,PayPal
663004,663,China,2023-03-09,662.52,Card
2203002,2203,Mexico,2022-12-25,561.38,PayPal
796001,796,Mexico,2024-06-11,364.93,Card
1750006,1750,France,2025-01-09,414.37,Card
5092006,5092,Russia,2024-04-08,43.87,PayPal
8710003,8710,Korea,2022-12-26,799.04,Card
6731002,6731,Korea,2025-01-23,57.91,Card
7267003,7267,Mexico,2025-02-22,15.11,Card
6772001,6772,Brazil,2023-07-04,68.92,Card
221001,221,Brazil,2024-02-20,459.9,Card
3350003,3350,Brazil,2023-08-08,48.26,Card
744007,744,Italy,2024-08-23,822.27,Card
3651002,3651,Japan,2024-08-17,878.93,PayPal
1881005,1881,Italy,2024-10-21,926.56,PayPal
2262001,2262,Mexico,2025-02-14,64.89,Card
4383003,4383,Italy,2024-12-07,486.26,Card
5473002,5473,Mexico,2024-09-11,26.27,Card
5694007,5694,Germany,2024-08-19,570.31,Card
9275003,9275,USA,2025-01-13,298.16,Card
6525002,6525,Brazil,2024-01-04,917.73,PayPal
4471006,4471,Brazil,2023-05-15,651.1,PayPal
3172005,3172,Korea,2023-12-08,639.48,PayPal
1787008,1787,China,2025-01-31,113.39,PayPal
2748007,2748,USA,2024-10-22,734.95,PayPal
1376003,1376,France,2025-02-28,30.05,PayPal
911006,911,USA,2023-12-28,78.73,Card
2484003,2484,Brazil,2024-12-04,387.05,PayPal
373200008,3732,Korea,2024-04-24,725.29,ApplePay
4300001,43,Mexico,2024-05-23,376.64,ApplePay
1350002,1350,Germany,2024-03-20,648.75,PayPal
8273002,8273,Japan,2024-09-06,262.12,Card
7900001,7900,China,2025-01-03,703.48,PayPal
6440001,6440,Korea,2022-11-05,718.37,PayPal
6270001,6270,France,2024-04-07,558.78,Card
124200004,1242,China,2024-06-29,511.8,ApplePay
1259002,1259,USA,2023-03-03,597.78,PayPal
1242003,1242,China,2023-09-17,152.82,Card
4657001,4657,Germany,2025-02-03,111.31,PayPal
6098004,6098,France,2024-07-31,294.36,PayPal
3626006,3626,Korea,2022-10-22,574.52,Card
3350001,3350,Brazil,2023-07-28,15.78,Card
8485003,8485,France,2025-03-05,947.53,Card
5354002,5354,France,2024-12-01,932.12,PayPal
465010,465,Germany,2024-01-02,959.21,PayPal
6902008,6902,Germany,2023-08-15,332.32,Card
9570003,9570,USA,2024-09-16,292.74,Card
744001,744,Italy,2024-01-17,639.42,Card
9395006,9395,France,2023-10-19,77.52,Card
4330005,4330,USA,2024-10-15,620.18,PayPal
9443002,9443,Japan,2025-02-13,157.96,PayPal
468900002,4689,Germany,2024-08-14,304.74,ApplePay
7185002,7185,India,2024-03-14,889.89,PayPal
936003,936,France,2025-01-12,394.6,Card
2291001,2291,Korea,2024-11-25,445.54,Card
8846007,8846,India,2024-04-16,700.91,Card
134002,134,USA,2025-03-03,691.04,PayPal
567002,567,India,2024-12-12,904.51,Card
7104005,7104,India,2024-07-11,492.94,PayPal
6918005,6918,Russia,2024-01-16,312.22,PayPal
663005,663,China,2022-12-22,68.37,PayPal
6904010,6904,Germany,2024-09-03,698.37,Card
3301005,3301,India,2024-01-21,699.71,Card
9405005,9405,Germany,2025-01-06,73.9,PayPal
9115005,9115,Korea,2025-02-08,17.27,PayPal
7068009,7068,Mexico,2024-05-29,50.24,Card
